from,to,Mean (data),Std (data),Mean (ref.),Std (ref.),Error
L1_DAC,L1_DAC,15.0,7.3,,,
L1_DAC,L1_HAC,13.7,7.31,,,
L1_DAC,L1_LAC,14.5,4.94,,,
L1_DAC,L1_NGC-DA,15.6,6.63,,,
L1_DAC,L1_NGC-SA,13.2,4.96,,,
L1_DAC,L1_SAC,12.0,4.91,,,
L1_DAC,L23_BP,1.13,0.365,,,
L1_DAC,L23_BTC,9.47,3.05,,,
L1_DAC,L23_CHC,11.7,4.36,,,
L1_DAC,L23_DBC,1.09,0.319,,,
L1_DAC,L23_LBC,10.6,4.29,,,
L1_DAC,L23_MC,11.5,5.75,,,
L1_DAC,L23_NBC,9.83,5.0,,,
L1_DAC,L23_NGC,6.86,2.62,,,
L1_DAC,L23_SBC,8.03,3.25,,,
L1_DAC,L2_IPC,12.9,7.93,,,
L1_DAC,L2_TPC:A,11.8,5.43,,,
L1_DAC,L2_TPC:B,13.3,5.7,,,
L1_DAC,L3_TPC:A,10.1,5.04,,,
L1_DAC,L3_TPC:C,6.77,2.79,,,
L1_DAC,L4_BTC,2.42,0.872,,,
L1_DAC,L4_CHC,1.06,0.22899999999999998,,,
L1_DAC,L4_DBC,1.05,0.324,,,
L1_DAC,L4_LBC,2.31,0.935,,,
L1_DAC,L4_MC,2.49,0.9109999999999999,,,
L1_DAC,L4_NBC,2.76,1.31,,,
L1_DAC,L4_NGC,1.12,0.331,,,
L1_DAC,L4_SBC,5.62,2.69,,,
L1_DAC,L4_SSC,1.88,0.852,,,
L1_DAC,L4_TPC,6.25,2.23,,,
L1_DAC,L4_UPC,2.52,0.9640000000000001,,,
L1_DAC,L5_BP,1.0,0.0,,,
L1_DAC,L5_BTC,1.1,0.3,,,
L1_DAC,L5_CHC,4.0,0.0,,,
L1_DAC,L5_DBC,1.0,0.0,,,
L1_DAC,L5_LBC,1.03,0.171,,,
L1_DAC,L5_MC,1.03,0.162,,,
L1_DAC,L5_NBC,1.07,0.292,,,
L1_DAC,L5_SBC,1.0,0.0,,,
L1_DAC,L5_TPC:A,12.9,5.08,,,
L1_DAC,L5_TPC:B,12.1,4.1,,,
L1_DAC,L5_TPC:C,8.13,3.47,,,
L1_DAC,L5_UPC,1.11,0.397,,,
L1_DAC,L6_BPC,1.19,0.462,,,
L1_DAC,L6_LBC,1.0,0.0,,,
L1_DAC,L6_MC,1.18,0.575,,,
L1_DAC,L6_NBC,1.0,0.0,,,
L1_DAC,L6_TPC:A,1.11,0.42200000000000004,,,
L1_DAC,L6_TPC:C,1.1,0.3,,,
L1_DAC,L6_UPC,1.06,0.237,,,
L1_HAC,L1_DAC,13.4,4.81,,,
L1_HAC,L1_HAC,14.6,5.0,,,
L1_HAC,L1_LAC,15.6,6.53,,,
L1_HAC,L1_NGC-DA,15.8,7.15,,,
L1_HAC,L1_NGC-SA,14.6,7.29,,,
L1_HAC,L1_SAC,12.8,5.67,,,
L1_HAC,L23_BP,1.1,0.3,,,
L1_HAC,L23_BTC,9.8,4.16,,,
L1_HAC,L23_CHC,12.7,6.23,,,
L1_HAC,L23_DBC,1.37,0.73,,,
L1_HAC,L23_LBC,11.5,5.57,,,
L1_HAC,L23_MC,12.9,5.82,,,
L1_HAC,L23_NBC,11.7,5.89,,,
L1_HAC,L23_NGC,8.8,3.64,,,
L1_HAC,L23_SBC,9.92,6.25,,,
L1_HAC,L2_IPC,13.3,6.95,,,
L1_HAC,L2_TPC:A,11.9,4.18,,,
L1_HAC,L2_TPC:B,15.4,7.66,,,
L1_HAC,L3_TPC:A,8.47,4.18,,,
L1_HAC,L3_TPC:C,5.34,1.75,,,
L1_HAC,L4_BTC,1.0,0.0,,,
L1_HAC,L4_DBC,1.28,0.731,,,
L1_HAC,L4_LBC,1.0,0.0,,,
L1_HAC,L4_MC,1.0,0.0,,,
L1_HAC,L4_SBC,1.0,0.0,,,
L1_HAC,L4_SSC,1.0,0.0,,,
L1_HAC,L4_TPC,5.89,2.77,,,
L1_HAC,L4_UPC,1.14,0.34700000000000003,,,
L1_HAC,L5_BTC,1.12,0.321,,,
L1_HAC,L5_DBC,1.0,0.0,,,
L1_HAC,L5_TPC:A,12.5,5.32,,,
L1_HAC,L5_TPC:B,12.9,4.95,,,
L1_HAC,L5_TPC:C,8.04,2.73,,,
L1_HAC,L5_UPC,1.19,0.523,,,
L1_HAC,L6_BPC,1.0,0.0,,,
L1_HAC,L6_MC,1.0,0.0,,,
L1_HAC,L6_TPC:A,1.14,0.425,,,
L1_HAC,L6_TPC:C,1.12,0.40299999999999997,,,
L1_HAC,L6_UPC,1.16,0.447,,,
L1_LAC,L1_DAC,16.3,6.99,,,
L1_LAC,L1_HAC,15.7,5.6,,,
L1_LAC,L1_LAC,16.6,6.24,,,
L1_LAC,L1_NGC-DA,16.8,6.35,,,
L1_LAC,L1_NGC-SA,15.8,6.24,,,
L1_LAC,L1_SAC,14.6,5.22,,,
L1_LAC,L23_BP,1.08,0.366,,,
L1_LAC,L23_BTC,11.9,4.85,,,
L1_LAC,L23_CHC,14.1,4.71,,,
L1_LAC,L23_DBC,4.45,2.24,,,
L1_LAC,L23_LBC,14.7,7.44,,,
L1_LAC,L23_MC,15.6,6.07,,,
L1_LAC,L23_NBC,13.8,5.94,,,
L1_LAC,L23_NGC,10.5,3.44,,,
L1_LAC,L23_SBC,12.8,7.43,,,
L1_LAC,L2_IPC,18.6,12.4,,,
L1_LAC,L2_TPC:A,16.9,9.0,,,
L1_LAC,L2_TPC:B,20.3,10.4,,,
L1_LAC,L3_TPC:A,11.7,4.25,,,
L1_LAC,L3_TPC:C,7.07,2.52,,,
L1_LAC,L4_BTC,1.0,0.0,,,
L1_LAC,L4_DBC,1.23,0.42100000000000004,,,
L1_LAC,L4_LBC,1.0,0.0,,,
L1_LAC,L4_MC,1.11,0.314,,,
L1_LAC,L4_NBC,1.5,0.5,,,
L1_LAC,L4_SBC,1.0,0.0,,,
L1_LAC,L4_SSC,1.16,0.423,,,
L1_LAC,L4_TPC,7.33,2.35,,,
L1_LAC,L4_UPC,1.4,0.693,,,
L1_LAC,L5_BTC,2.87,1.26,,,
L1_LAC,L5_DBC,1.14,0.35,,,
L1_LAC,L5_LBC,2.0,0.0,,,
L1_LAC,L5_NBC,1.0,0.0,,,
L1_LAC,L5_TPC:A,14.9,5.55,,,
L1_LAC,L5_TPC:B,14.6,5.87,,,
L1_LAC,L5_TPC:C,8.59,2.58,,,
L1_LAC,L5_UPC,1.05,0.218,,,
L1_LAC,L6_BPC,1.0,0.0,,,
L1_LAC,L6_TPC:A,1.13,0.365,,,
L1_LAC,L6_TPC:C,1.12,0.326,,,
L1_LAC,L6_UPC,1.09,0.287,,,
L1_NGC-DA,L1_DAC,17.8,7.27,,,
L1_NGC-DA,L1_HAC,18.6,8.73,,,
L1_NGC-DA,L1_LAC,20.5,9.91,,,
L1_NGC-DA,L1_NGC-DA,21.5,11.9,,,
L1_NGC-DA,L1_NGC-SA,19.8,9.86,,,
L1_NGC-DA,L1_SAC,16.6,8.14,,,
L1_NGC-DA,L23_BP,2.65,1.09,,,
L1_NGC-DA,L23_BTC,13.1,5.39,,,
L1_NGC-DA,L23_CHC,17.5,9.29,,,
L1_NGC-DA,L23_DBC,5.63,2.99,,,
L1_NGC-DA,L23_LBC,16.8,11.6,,,
L1_NGC-DA,L23_MC,17.9,8.42,,,
L1_NGC-DA,L23_NBC,15.2,8.94,,,
L1_NGC-DA,L23_NGC,10.9,4.48,,,
L1_NGC-DA,L23_SBC,11.9,6.99,,,
L1_NGC-DA,L2_IPC,17.2,11.4,,,
L1_NGC-DA,L2_TPC:A,17.1,8.5,,,
L1_NGC-DA,L2_TPC:B,18.4,8.64,,,
L1_NGC-DA,L3_TPC:A,12.7,4.97,,,
L1_NGC-DA,L3_TPC:C,7.94,2.94,,,
L1_NGC-DA,L4_BTC,1.14,0.35,,,
L1_NGC-DA,L4_DBC,1.18,0.386,,,
L1_NGC-DA,L4_LBC,1.0,0.0,,,
L1_NGC-DA,L4_MC,1.0,0.0,,,
